date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-07-21,3281901.8314289036,3134644.711070001,3305300.8435199987,3418247.459269994
2025-07-22,3278201.754858288,3095766.6520493818,3305707.822449382,3445712.8553993846
2025-07-23,3276222.1677336977,3099515.236074789,3286320.531074793,3435449.4009747934
2025-07-24,3277360.2830705456,3119572.835861642,3273441.2854116354,3407371.3181616366
2025-07-25,3275791.98601808,3115371.8629591754,3278213.607609174,3446538.4715591813
2025-07-26,3278104.388905614,3129755.6768467114,3273023.9702467057,3417255.77959671
2025-07-27,3282343.2010654765,3136266.364906575,3290744.3266565707,3452311.9174065734
2025-07-28,3278893.5364331473,3143420.6481242427,3305892.598274247,3417071.7742242427
2025-07-29,3257689.010858901,3129008.578249994,3267707.2596999966,3416182.6070999955
2025-07-30,3217907.5851673954,3056736.298508494,3232026.7272584904,3370092.758808488
2025-07-31,3152142.803740273,2991357.2630813704,3141885.534331369,3301082.152581372
2025-08-01,3143338.240717668,3014828.7772587617,3154934.9098087633,3293213.3033587663
2025-08-02,3050754.4648509547,2922382.770192052,3056839.181942053,3199356.7628920525
2025-08-03,3146722.8906914364,2988487.999032532,3143603.937782528,3304463.464782532
2025-08-04,3086484.656170954,2958729.9100120473,3094282.3485120516,3237446.1325620506
2025-08-05,3071643.0933988416,2956387.634339941,3080789.9739899365,3223828.267039934
2025-08-06,3094062.730497125,2887531.459888227,3114035.038588222,3232788.131838221
2025-08-07,3117919.0404350013,2957125.6148760985,3124940.6777760973,3279034.9480760926
2025-08-08,3069542.164668489,2894588.760609588,3077199.8800095837,3220206.079209584
2025-08-09,3145972.3202632163,3003418.0551043125,3148104.277604314,3297993.4558543093
2025-08-10,3040606.301980541,2878157.65812164,3050190.039071637,3178692.287371641
2025-08-11,3140669.036186779,2982503.840527875,3136435.0060278736,3279820.426877875
2025-08-12,2971176.7831101306,2813389.335901227,2971989.9294512263,3109066.317601231
2025-08-13,3159115.422678079,2938309.5140191736,3154249.5290191686,3295084.205419176
2025-08-14,2950870.2879667035,2752259.2897577994,2958953.3745577983,3118562.318457803
2025-08-15,3082135.3205535566,2928558.654294652,3088118.0581446514,3230541.457644655
2025-08-16,3095662.3331709565,2947211.779412054,3096909.6325120507,3252679.5869620517
2025-08-17,3085362.4396429425,2894303.201484035,3074051.0199840404,3217379.191334036
2025-08-18,3064482.7776082163,2923860.0579493134,3067644.5684493133,3215384.025899313
